"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 19:21:02 GMT 2021","Sat Aug 21 19:21:10 GMT 2021","7753","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"passed","Sat Aug 21 19:19:58 GMT 2021","Sat Aug 21 19:20:15 GMT 2021","16633","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Adatkezelési nyilatkozat ellenörzése",""
"passed","Sat Aug 21 19:20:15 GMT 2021","Sat Aug 21 19:20:23 GMT 2021","8557","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"broken","Sat Aug 21 19:19:58 GMT 2021","Sat Aug 21 19:20:18 GMT 2021","19350","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Sat Aug 21 19:20:27 GMT 2021","Sat Aug 21 19:20:30 GMT 2021","2459","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"passed","Sat Aug 21 19:20:45 GMT 2021","Sat Aug 21 19:20:51 GMT 2021","6166","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearchUrl","Keresés URL",""
"passed","Sat Aug 21 19:20:42 GMT 2021","Sat Aug 21 19:20:45 GMT 2021","3219","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"passed","Sat Aug 21 19:19:58 GMT 2021","Sat Aug 21 19:19:58 GMT 2021","79","","Tests.TestMethods.TestMethods","","Tests.TestMethods.TestMethods","TestRandNum","A generalt szam Range-en belul van-e",""
"passed","Sat Aug 21 19:19:58 GMT 2021","Sat Aug 21 19:19:58 GMT 2021","10","","Tests.TestMethods.TestMethods","","Tests.TestMethods.TestMethods","TestphoneGenerator","Telefonszam hossza, tipusa",""
"passed","Sat Aug 21 19:20:51 GMT 2021","Sat Aug 21 19:21:02 GMT 2021","11011","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearchValue","Keresés értékére",""
"broken","Sat Aug 21 19:20:18 GMT 2021","Sat Aug 21 19:20:30 GMT 2021","12433","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"skipped","Sat Aug 21 19:19:58 GMT 2021","Sat Aug 21 19:19:58 GMT 2021","1","","Tests.TestMethods.TestMethods","","Tests.TestMethods.TestMethods","fileExist","Modosito fajl letezik es van e tartalma",""
"passed","Sat Aug 21 19:20:36 GMT 2021","Sat Aug 21 19:20:42 GMT 2021","5498","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"passed","Sat Aug 21 19:20:23 GMT 2021","Sat Aug 21 19:20:27 GMT 2021","4183","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"passed","Sat Aug 21 19:20:30 GMT 2021","Sat Aug 21 19:20:36 GMT 2021","6217","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
