"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","3","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"broken","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","5","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"broken","Sat Aug 21 11:43:29 GMT 2021","Sat Aug 21 11:43:29 GMT 2021","7","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"broken","Sat Aug 21 11:43:29 GMT 2021","Sat Aug 21 11:43:29 GMT 2021","15","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"broken","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","88","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Adatkezelési nyilatkozat ellenörzése",""
"broken","Sat Aug 21 11:43:29 GMT 2021","Sat Aug 21 11:43:29 GMT 2021","7","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"passed","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","5","","Tests.TestMethods.TestMethods","","Tests.TestMethods.TestMethods","TestphoneGenerator","Telefonszam hossza, tipusa",""
"broken","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","4","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"skipped","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","0","","Tests.TestMethods.TestMethods","","Tests.TestMethods.TestMethods","fileExist","Modosito fajl letezik es van e tartalma",""
"passed","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","6","","Tests.TestMethods.TestMethods","","Tests.TestMethods.TestMethods","TestRandNum","A generalt szam Range-en belul van-e",""
"broken","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","4","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"broken","Sat Aug 21 11:43:29 GMT 2021","Sat Aug 21 11:43:29 GMT 2021","5","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"broken","Sat Aug 21 11:43:29 GMT 2021","Sat Aug 21 11:43:29 GMT 2021","3","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"broken","Sat Aug 21 11:43:28 GMT 2021","Sat Aug 21 11:43:28 GMT 2021","4","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
