"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 17:02:36 GMT 2021","Wed Aug 18 17:02:42 GMT 2021","5674","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"passed","Wed Aug 18 17:02:18 GMT 2021","Wed Aug 18 17:02:28 GMT 2021","10087","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"passed","Wed Aug 18 17:03:18 GMT 2021","Wed Aug 18 17:03:24 GMT 2021","5578","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"broken","Wed Aug 18 17:02:45 GMT 2021","Wed Aug 18 17:02:55 GMT 2021","10419","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Wed Aug 18 17:03:24 GMT 2021","Wed Aug 18 17:03:52 GMT 2021","28157","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"passed","Wed Aug 18 17:02:28 GMT 2021","Wed Aug 18 17:02:36 GMT 2021","8314","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"passed","Wed Aug 18 17:02:55 GMT 2021","Wed Aug 18 17:03:04 GMT 2021","8945","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"passed","Wed Aug 18 17:03:04 GMT 2021","Wed Aug 18 17:03:13 GMT 2021","9060","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"passed","Wed Aug 18 17:03:13 GMT 2021","Wed Aug 18 17:03:18 GMT 2021","5029","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"passed","Wed Aug 18 17:02:42 GMT 2021","Wed Aug 18 17:02:45 GMT 2021","3059","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"passed","Wed Aug 18 17:03:52 GMT 2021","Wed Aug 18 17:04:05 GMT 2021","13159","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
