"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","7","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","2","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","2","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","4","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","146","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","128","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","10","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","1","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","1","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","4","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"broken","Wed Aug 18 16:18:35 GMT 2021","Wed Aug 18 16:18:35 GMT 2021","6","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
