"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 16:20:53 GMT 2021","Wed Aug 18 16:21:04 GMT 2021","10862","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Wed Aug 18 16:20:45 GMT 2021","Wed Aug 18 16:20:50 GMT 2021","5429","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"passed","Wed Aug 18 16:20:34 GMT 2021","Wed Aug 18 16:20:45 GMT 2021","10872","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"passed","Wed Aug 18 16:20:50 GMT 2021","Wed Aug 18 16:20:53 GMT 2021","3105","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"passed","Wed Aug 18 16:21:18 GMT 2021","Wed Aug 18 16:21:25 GMT 2021","7035","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"passed","Wed Aug 18 16:21:04 GMT 2021","Wed Aug 18 16:21:13 GMT 2021","8949","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"passed","Wed Aug 18 16:20:21 GMT 2021","Wed Aug 18 16:20:36 GMT 2021","14744","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"passed","Wed Aug 18 16:20:21 GMT 2021","Wed Aug 18 16:20:34 GMT 2021","12749","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"passed","Wed Aug 18 16:21:54 GMT 2021","Wed Aug 18 16:22:07 GMT 2021","13552","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"passed","Wed Aug 18 16:21:13 GMT 2021","Wed Aug 18 16:21:18 GMT 2021","4950","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"passed","Wed Aug 18 16:21:25 GMT 2021","Wed Aug 18 16:21:54 GMT 2021","28421","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
