"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 17:00:09 GMT 2021","Wed Aug 18 17:00:14 GMT 2021","4845","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"passed","Wed Aug 18 16:59:07 GMT 2021","Wed Aug 18 16:59:21 GMT 2021","14089","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"passed","Wed Aug 18 17:00:46 GMT 2021","Wed Aug 18 17:00:59 GMT 2021","12813","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"passed","Wed Aug 18 17:00:19 GMT 2021","Wed Aug 18 17:00:46 GMT 2021","27874","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"passed","Wed Aug 18 17:00:00 GMT 2021","Wed Aug 18 17:00:09 GMT 2021","8747","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"passed","Wed Aug 18 16:59:37 GMT 2021","Wed Aug 18 16:59:41 GMT 2021","3174","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"passed","Wed Aug 18 16:59:51 GMT 2021","Wed Aug 18 17:00:00 GMT 2021","8854","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"passed","Wed Aug 18 16:59:31 GMT 2021","Wed Aug 18 16:59:37 GMT 2021","5860","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"passed","Wed Aug 18 17:00:14 GMT 2021","Wed Aug 18 17:00:19 GMT 2021","4773","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"broken","Wed Aug 18 16:59:41 GMT 2021","Wed Aug 18 16:59:51 GMT 2021","10704","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Wed Aug 18 16:59:21 GMT 2021","Wed Aug 18 16:59:31 GMT 2021","10747","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
