"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 14:09:03 GMT 2021","Thu Aug 19 14:09:17 GMT 2021","13671","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
"passed","Thu Aug 19 14:08:26 GMT 2021","Thu Aug 19 14:08:32 GMT 2021","6522","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"passed","Thu Aug 19 14:08:01 GMT 2021","Thu Aug 19 14:08:25 GMT 2021","24080","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"passed","Thu Aug 19 14:08:49 GMT 2021","Thu Aug 19 14:08:54 GMT 2021","5378","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"broken","Thu Aug 19 14:08:20 GMT 2021","Thu Aug 19 14:08:32 GMT 2021","12152","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Thu Aug 19 14:08:32 GMT 2021","Thu Aug 19 14:08:43 GMT 2021","10504","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"passed","Thu Aug 19 14:08:36 GMT 2021","Thu Aug 19 14:08:46 GMT 2021","10095","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"passed","Thu Aug 19 14:08:01 GMT 2021","Thu Aug 19 14:08:20 GMT 2021","18410","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"passed","Thu Aug 19 14:08:43 GMT 2021","Thu Aug 19 14:08:48 GMT 2021","5770","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"broken","Thu Aug 19 14:08:54 GMT 2021","Thu Aug 19 14:09:03 GMT 2021","9135","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"passed","Thu Aug 19 14:08:32 GMT 2021","Thu Aug 19 14:08:36 GMT 2021","4238","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
