"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 12:07:43 GMT 2021","Thu Aug 19 12:07:52 GMT 2021","8874","","Tests.TestLogin.TestLogin","","Tests.TestLogin.TestLogin","TestBelepes","A bejelentkezést helyes folyamatát ellenörzöm",""
"passed","Thu Aug 19 12:07:14 GMT 2021","Thu Aug 19 12:07:20 GMT 2021","5940","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestAllAdvertContent","Ellenörzöm hirdetés nem nyomja-e szét az oldalt",""
"broken","Thu Aug 19 12:07:24 GMT 2021","Thu Aug 19 12:07:34 GMT 2021","10702","","Tests.TestLogout.TestLogout","","Tests.TestLogout.TestLogout","TestLogout","Belépés után a szabályos kijelentkezést ellenörzöm",""
"passed","Thu Aug 19 12:08:03 GMT 2021","Thu Aug 19 12:08:31 GMT 2021","27758","","Tests.TestContact.TestContact","","Tests.TestContact.TestContact","TestContact","Kontakt formot ellenörzöm bevitt adatokkal",""
"passed","Thu Aug 19 12:06:38 GMT 2021","Thu Aug 19 12:07:03 GMT 2021","25247","","Tests.TestAdatKezelesi.TestAdatKezelesi","","Tests.TestAdatKezelesi.TestAdatKezelesi","TestAdatKezelesi","Megnyitom az adatkezelési nyilatkozatot",""
"passed","Thu Aug 19 12:07:52 GMT 2021","Thu Aug 19 12:07:57 GMT 2021","4724","","Tests.TestNewPwd.TestNewPwd","","Tests.TestNewPwd.TestNewPwd","TestNewPwd","Ellenörzöm a jelszóemlékeztető helyes működését",""
"passed","Thu Aug 19 12:07:20 GMT 2021","Thu Aug 19 12:07:24 GMT 2021","3310","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestIndexPage","Klikkelek az összes hirdetés linkre a nyitóoldalon",""
"passed","Thu Aug 19 12:07:34 GMT 2021","Thu Aug 19 12:07:43 GMT 2021","8621","","Tests.TestRegistration.TestRegistration","","Tests.TestRegistration.TestRegistration","TestRegistration","TestRegistration()",""
"passed","Thu Aug 19 12:07:03 GMT 2021","Thu Aug 19 12:07:14 GMT 2021","11253","","Tests.TestIndexPage.TestIndexPage","","Tests.TestIndexPage.TestIndexPage","TestSaveAdvertTitleToFile","Mentem a hirdetések címét egy fájlba, majd ráellenörzök dbszám szerint",""
"passed","Thu Aug 19 12:07:57 GMT 2021","Thu Aug 19 12:08:03 GMT 2021","6561","","Tests.TestSearch.TestSearch","","Tests.TestSearch.TestSearch","TestSearch","TestSearch()",""
"passed","Thu Aug 19 12:08:31 GMT 2021","Thu Aug 19 12:08:44 GMT 2021","13019","","Tests.TestAdvertModify.TestAdvertModify","","Tests.TestAdvertModify.TestAdvertModify","TestHirdModositas","Belépek egy hirdetésbe amit modosítok",""
